Country,pop_total,pop_under_18,pop_under_5,under_five_mort_male,under_five_mort_female,infant_mort,neonatal_mort,age_5_14_mort_rate,stillbirth_rate,under_5_death,neonatal_deaths,age_5_14_deaths,stillbirth,univ_health,vacc_bcg,vacc_dtp1,vacc_dtp3,vacc_polio3,vacc_mcv1,vacc_mcv2,vacc_hepb3,vacc_hib3,vacc_rota,vacc_pcv3,vacc_pab_tetanus,ado_mort,ado_deaths,vacc_hpv_girls,mothers_cash_benefit,gini_coef,palma_index,vmir,gdp_capita,water_house,sanitation_house,hygiene_house,mat_leave_benefits,pat_leave_benefits,total_unemployement_rate_m,total_unemployement_rate_f,financial_inclusion_m,financial_inclusion_f
Afghanistan,"40,099","20,298","6,491",59,52,43,34,4,26,"77,811","49,061","4,396","37,980",37,84,74,66,71,63,44,66,66,59,65,65,14,"13,833",-,2,31,-,-,507,75,50,8,No,Yes,10,14,23,7
Albania,"2,855",574,141,10,9,8,7,2,4,279,209,59,128,62,99,98,98,98,87,92,98,98,98,89,96,3,91,-,-,33,1.3,0.8,"5,353",95,99,84,Yes,Yes,12,11,-,-
Algeria,"44,178","15,526","4,871",24,21,19,16,3,10,"21,567","14,888","2,475","9,429",75,99,96,91,91,80,77,91,91,-,91,98,4,"2,651",-,11,28,1.0,0.8,"3,974",94,86,-,Yes,Yes,10,20,56,29
Andorra,79,13,3,3,2,3,1,1,2,2,1,0,1,-,-,99,99,98,99,97,98,98,-,95,-,2,1,83,-,28,1.0,-,"40,886",100,100,100,-,-,-,-,-,-
Angola,"34,504","17,833","5,983",75,63,47,27,16,19,"89,896","35,644","15,451","26,351",39,56,57,45,43,36,32,41,41,36,34,68,18,"14,283",-,-,51,3.5,0.6,"2,791",57,52,-,No,Yes,7,7,36,22
Anguilla,16,3,1,4,4,4,2,1,-,1,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,3,0,-,73,-,-,-,-,-,-,100,-,-,-,-,-,-
Antigua and Barbuda,93,21,5,7,6,5,3,2,5,7,4,2,6,72,-,93,92,92,85,76,92,92,-,-,-,3,4,2,37,-,-,-,"17,113",-,-,100,No,No,-,-,-,-
Argentina,"45,277","12,669","3,333",8,6,6,5,1,4,"4,410","3,232","1,064","2,719",73,81,82,76,74,81,79,76,76,74,74,-,3,"2,421",53,32,42,2.1,0.7,"9,912",-,-,-,No,Yes,9,11,-,-
Armenia,"2,791",669,183,12,10,10,6,2,11,372,190,74,369,69,98,96,93,93,94,94,93,93,92,93,-,3,103,8,62,34,1.4,0.7,"4,623",100,94,98,Yes,No,18,20,56,41
Australia,"25,921","5,667","1,537",4,3,3,2,1,2,"1,111",706,239,714,87,-,98,95,95,93,94,95,95,95,96,-,2,622,66,100,33,1.3,0.7,"55,057",100,100,100,Yes,Yes,5,5,-,-
Austria,"8,922","1,542",431,4,3,3,2,1,2,308,198,64,207,82,-,95,85,85,95,88,85,85,61,-,-,2,147,-,100,28,1.0,0.8,"50,122",100,100,-,Yes,Yes,5,4,-,-
Azerbaijan,"10,313","2,896",705,20,17,17,10,3,9,"2,435","1,210",553,"1,117",65,95,92,89,93,93,90,89,89,-,90,-,5,798,-,16,27,0.7,0.8,"4,793",96,-,100,Yes,No,4,6,29,28
Bahamas,408,100,23,14,12,11,7,2,11,61,33,13,53,70,-,79,75,75,82,82,75,75,75,82,100,4,29,-,47,41,2.0,-,"34,864",-,-,-,No,No,10,10,-,-
Bahrain,"1,463",348,98,7,7,6,3,2,6,128,52,36,102,71,-,99,98,99,99,99,98,98,99,99,100,3,45,-,-,60,-,-,"23,504",100,100,100,No,Yes,1,5,86,75
Bangladesh,"169,356","54,801","14,663",29,25,23,16,5,21,"82,081","48,319","13,637","63,199",51,99,99,98,98,97,93,98,98,-,99,98,5,"14,869",-,21,48,2.9,0.7,"1,856",98,54,56,Yes,No,3,7,-,-
Barbados,281,59,15,13,11,11,8,2,8,36,24,5,23,74,-,83,82,84,77,70,82,82,-,83,-,3,12,28,-,32,3.1,-,"18,148",99,98,100,No,No,10,10,-,-
Belarus,"9,578","1,901",474,3,2,2,1,1,2,251,78,122,195,74,98,98,98,97,98,98,98,98,-,-,-,2,209,-,100,25,0.9,0.8,"6,698",97,98,100,Yes,No,6,4,81,81
Belgium,"11,611","2,329",599,5,4,3,2,1,3,476,283,102,342,85,-,98,98,98,96,85,97,97,86,94,-,1,184,70,100,25,0.9,0.8,"46,345",100,99,100,Yes,Yes,6,5,-,-
Belize,400,136,37,12,10,10,7,3,7,80,53,21,50,67,84,83,83,83,79,77,83,83,-,-,93,5,43,4,20,53,3.9,0.5,"4,815",98,88,-,Yes,No,4,10,-,-
Benin,"12,997","6,376","2,137",89,77,55,29,19,20,"38,680","13,907","6,514","9,713",38,88,84,76,75,68,-,76,76,76,73,81,18,"5,110",-,41,48,2.9,0.6,"1,219",65,17,49,Yes,Yes,2,3,-,-
Bhutan,777,220,51,29,24,22,15,7,9,263,144,95,88,62,99,99,98,98,97,91,98,98,-,95,90,10,137,88,10,37,1.6,0.7,"3,316",97,77,-,No,Yes,2,3,-,-
Bolivia (Plurinational State of),"12,079","4,470","1,272",27,22,20,13,4,9,"6,484","3,477",988,"2,333",67,78,75,70,70,75,56,70,70,71,70,89,6,"1,508",36,59,43,2.2,0.6,"3,552",93,66,-,No,Yes,3,4,-,-
Bosnia and Herzegovina,"3,271",588,154,6,5,5,4,1,3,159,113,40,74,65,95,89,73,73,68,76,80,62,-,-,-,2,78,-,100,33,1.3,0.7,"6,109",96,-,-,Yes,Yes,14,19,-,-
Botswana,"2,588","1,000",297,38,31,28,18,7,15,"2,131","1,098",383,912,54,98,98,95,96,97,70,95,95,85,90,91,7,374,22,24,53,3.8,0.5,"7,961",92,80,-,No,No,14,21,-,-
Brazil,"214,326","53,465","14,241",16,13,13,8,2,7,"40,107","23,391","6,566","19,411",75,63,74,68,68,73,46,68,68,69,69,96,6,"19,031",67,48,54,4.1,0.5,"8,717",99,90,-,Yes,Yes,10,14,73,68
British Virgin Islands,31,6,1,11,9,10,5,2,-,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,4,2,-,-,-,-,-,-,100,-,91,-,-,-,-,-,-
Brunei Darussalam,445,119,32,12,10,10,6,2,5,72,38,13,30,77,99,99,99,99,99,99,99,99,-,-,97,2,13,89,63,56,5.0,-,"31,087",100,-,100,No,No,6,8,-,-
